Predictor variable,Categorical,Sample average
bio1,false,207.86713286713288
bio15,false,93.0909090909091
bio16,false,1119.1818181818182
bio17,false,30.486013986013987
bio18,false,484.8881118881119
bio19,false,44.25174825174825
bio2,false,92.2027972027972
bio3,false,45.45104895104895
