Predictor variable,Categorical,Sample average
bio1,false,246.57142857142858
bio15,false,111.60714285714286
bio16,false,2044.607142857143
bio17,false,20.107142857142858
bio18,false,912.6071428571429
bio19,false,20.142857142857142
bio2,false,63.535714285714285
bio3,false,51.357142857142854
