X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
76.427384,10.302143,train,0.00950621704141689,63.87379719870593,0.8795825456982682
76.601992,8.8709,train,0.005926561778427499,37.732485903281486,0.7327827673056285
75.792458,11.922379,train,0.007164774392541761,50.78759312721827,0.7971749605263788
76.359386,10.029178,train,0.014397505675219505,83.34501203331237,0.9594798277702183
76.876792,10.368755,train,0.0037477343970078606,23.406311256061368,0.5659190992507048
76.8507,8.9895,train,0.00730140904417489,53.677663165478755,0.8032529881932811
76.297146,10.452874,train,0.007619617935644887,55.19481465392239,0.8167114405699449
76.430095,9.617545,train,0.013917673194075613,81.90494555551388,0.954910639026769
75.017644,13.479594,train,0.012423190445086696,72.5903444546122,0.9371073497677166
76.127646,10.386543,train,0.009910971799840804,66.7995747534765,0.889960874906633
76.680688,9.041247,train,0.006841682234841374,47.94975978171977,0.7820451193108631
76.319672,9.497347,train,0.01864741651704557,100.0,0.9842718239485276
76.383987,9.322183,train,0.015065214040720908,87.77478813035422,0.9650779513049326
76.460342,9.369502,train,0.012902325698050582,75.1551350637332,0.9434718822845845
75.523422,12.669963,train,0.00538703737386086,33.1350696562485,0.6986717553931745
77.179474,9.578407,train,0.003178963709846153,21.27017791921145,0.5073093106196679
76.559158,9.681945,train,0.018204141174504012,96.27564030749504,0.982640154495853
76.415672,9.545402,train,0.014613810907591023,84.80954389416148,0.9613852510412344
89.970406,26.024946,train,1.2117789735246337E-5,2.0283172999015475,0.002694683867115022
75.646362,12.873392,train,0.0023048767908302576,18.169997393092824,0.4014450601216598
75.738182,12.42442,train,0.008824591417840123,61.10735310242235,0.8598455483548701
75.676918,12.555066,train,0.007108194838303906,49.3554867412314,0.7946034401367449
76.944443,9.442223,train,0.005798516208000514,35.97571014844048,0.7250540869423472
75.982132,11.953685,train,0.005949853752096127,38.922046783154435,0.7341651083738452
76.338852,9.498067,train,0.013783505569377604,80.51351358665494,0.9535432389582444
75.473268,13.08476,train,0.004475220636672593,28.050987907069903,0.6308369590675886
73.025737,18.339922,train,7.748860453307867E-4,11.257477680458065,0.15848147685127356
76.108113,11.350636,train,0.011879691688984093,71.34799388118562,0.9290161386962773
76.312475,10.026069,test,0.013889024869208724,81.60830162143563,0.9546220834337391
76.522156,9.591567,test,0.013292275308562458,77.98340737717753,0.9481732516484058
76.2333,9.9667,test,0.011047220362909624,68.63414644932615,0.9145593002924323
