variable,x,y
bio15,26.7,1.0
bio15,26.8596,1.0
bio15,27.019199999999998,1.0
bio15,27.1788,1.0
bio15,27.3384,1.0
bio15,27.498,1.0
bio15,27.6576,1.0
bio15,27.8172,1.0
bio15,27.9768,1.0
bio15,28.1364,1.0
bio15,28.296,1.0
bio15,28.4556,1.0
bio15,28.615199999999998,1.0
bio15,28.7748,1.0
bio15,28.9344,1.0
bio15,29.094,1.0
bio15,29.2536,1.0
bio15,29.4132,1.0
bio15,29.5728,1.0
bio15,29.7324,1.0
bio15,29.892,1.0
bio15,30.0516,1.0
bio15,30.211199999999998,1.0
bio15,30.3708,1.0
bio15,30.5304,1.0
bio15,30.69,1.0
bio15,30.8496,1.0
bio15,31.0092,1.0
bio15,31.1688,1.0
bio15,31.328400000000002,1.0
bio15,31.488,1.0
bio15,31.6476,1.0
bio15,31.8072,1.0
bio15,31.9668,1.0
bio15,32.1264,1.0
bio15,32.286,1.0
bio15,32.4456,1.0
bio15,32.605199999999996,1.0
bio15,32.7648,1.0
bio15,32.9244,1.0
bio15,33.084,1.0
bio15,33.2436,1.0
bio15,33.4032,1.0
bio15,33.5628,1.0
bio15,33.7224,1.0
bio15,33.882,1.0
bio15,34.0416,1.0
bio15,34.2012,1.0
bio15,34.3608,1.0
bio15,34.5204,1.0
bio15,34.68,1.0
bio15,34.839600000000004,1.0
bio15,34.9992,1.0
bio15,35.1588,1.0
bio15,35.3184,1.0
bio15,35.478,1.0
bio15,35.6376,1.0
bio15,35.797200000000004,1.0
bio15,35.9568,1.0
bio15,36.1164,1.0
bio15,36.276,1.0
bio15,36.4356,1.0
bio15,36.5952,1.0
bio15,36.7548,1.0
bio15,36.9144,1.0
bio15,37.074,1.0
bio15,37.2336,1.0
bio15,37.3932,1.0
bio15,37.5528,1.0
bio15,37.7124,1.0
bio15,37.872,1.0
bio15,38.0316,1.0
bio15,38.1912,1.0
bio15,38.3508,1.0
bio15,38.510400000000004,1.0
bio15,38.67,1.0
bio15,38.8296,1.0
bio15,38.989200000000004,1.0
bio15,39.1488,1.0
bio15,39.3084,1.0
bio15,39.468,1.0
bio15,39.6276,1.0
bio15,39.7872,1.0
bio15,39.946799999999996,1.0
bio15,40.1064,1.0
bio15,40.266000000000005,1.0
bio15,40.4256,1.0
bio15,40.5852,1.0
bio15,40.7448,1.0
bio15,40.9044,1.0
bio15,41.064,1.0
bio15,41.223600000000005,1.0
bio15,41.3832,1.0
bio15,41.5428,1.0
bio15,41.7024,1.0
bio15,41.862,1.0
bio15,42.0216,1.0
bio15,42.181200000000004,1.0
bio15,42.3408,1.0
bio15,42.5004,1.0
bio15,42.660000000000004,1.0
bio15,42.8196,1.0
bio15,42.979200000000006,1.0
bio15,43.1388,1.0
bio15,43.2984,1.0
bio15,43.458,1.0
bio15,43.6176,1.0
bio15,43.7772,1.0
bio15,43.936800000000005,1.0
bio15,44.0964,1.0
bio15,44.256,1.0
bio15,44.4156,1.0
bio15,44.5752,1.0
bio15,44.73480000000001,1.0
bio15,44.894400000000005,1.0
bio15,45.054,1.0
bio15,45.2136,1.0
bio15,45.373200000000004,1.0
bio15,45.5328,1.0
bio15,45.6924,1.0
bio15,45.852000000000004,1.0
bio15,46.0116,1.0
bio15,46.1712,1.0
bio15,46.3308,1.0
bio15,46.4904,1.0
bio15,46.650000000000006,1.0
bio15,46.8096,1.0
bio15,46.9692,1.0
bio15,47.1288,1.0
bio15,47.288399999999996,1.0
bio15,47.44800000000001,1.0
bio15,47.607600000000005,1.0
bio15,47.7672,1.0
bio15,47.9268,1.0
bio15,48.0864,1.0
bio15,48.246,1.0
bio15,48.4056,1.0
bio15,48.565200000000004,1.0
bio15,48.7248,1.0
bio15,48.8844,1.0
bio15,49.044000000000004,1.0
bio15,49.2036,1.0
bio15,49.363200000000006,1.0
bio15,49.522800000000004,1.0
bio15,49.6824,1.0
bio15,49.842,1.0
bio15,50.001599999999996,1.0
bio15,50.16120000000001,1.0
bio15,50.320800000000006,1.0
bio15,50.4804,1.0
bio15,50.64,1.0
bio15,50.7996,1.0
bio15,50.9592,1.0
bio15,51.11880000000001,1.0
bio15,51.278400000000005,1.0
bio15,51.438,1.0
bio15,51.5976,1.0
bio15,51.757200000000005,1.0
bio15,51.9168,1.0
bio15,52.07640000000001,1.0
bio15,52.236000000000004,1.0
bio15,52.3956,1.0
bio15,52.5552,1.0
bio15,52.714800000000004,1.0
bio15,52.87440000000001,1.0
bio15,53.034000000000006,1.0
bio15,53.1936,1.0
bio15,53.3532,1.0
bio15,53.5128,1.0
bio15,53.6724,1.0
bio15,53.83200000000001,1.0
bio15,53.991600000000005,1.0
bio15,54.1512,1.0
bio15,54.3108,1.0
bio15,54.470400000000005,1.0
bio15,54.63,1.0
bio15,54.78960000000001,1.0
bio15,54.949200000000005,1.0
bio15,55.1088,1.0
bio15,55.2684,1.0
bio15,55.428000000000004,1.0
bio15,55.58760000000001,1.0
bio15,55.74720000000001,1.0
bio15,55.906800000000004,1.0
bio15,56.0664,1.0
bio15,56.226,1.0
bio15,56.385600000000004,1.0
bio15,56.54520000000001,1.0
bio15,56.704800000000006,1.0
bio15,56.8644,1.0
bio15,57.024,1.0
bio15,57.183600000000006,1.0
bio15,57.3432,1.0
bio15,57.5028,1.0
bio15,57.662400000000005,1.0
bio15,57.822,1.0
bio15,57.9816,1.0
bio15,58.141200000000005,1.0
bio15,58.3008,1.0
bio15,58.46040000000001,1.0
bio15,58.620000000000005,1.0
bio15,58.7796,1.0
bio15,58.9392,1.0
bio15,59.0988,1.0
bio15,59.25840000000001,1.0
bio15,59.418000000000006,1.0
bio15,59.577600000000004,1.0
bio15,59.7372,1.0
bio15,59.8968,1.0
bio15,60.0564,1.0
bio15,60.21600000000001,1.0
bio15,60.375600000000006,1.0
bio15,60.5352,1.0
bio15,60.6948,1.0
bio15,60.8544,1.0
bio15,61.01400000000001,1.0
bio15,61.17360000000001,1.0
bio15,61.333200000000005,1.0
bio15,61.4928,1.0
bio15,61.6524,1.0
bio15,61.81200000000001,1.0
bio15,61.97160000000001,1.0
bio15,62.13120000000001,1.0
bio15,62.290800000000004,1.0
bio15,62.4504,1.0
bio15,62.610000000000014,1.0
bio15,62.76960000000001,1.0
bio15,62.92920000000001,1.0
bio15,63.088800000000006,1.0
bio15,63.248400000000004,1.0
bio15,63.408,1.0
bio15,63.5676,1.0
bio15,63.72720000000001,1.0
bio15,63.88680000000001,1.0
bio15,64.0464,1.0
bio15,64.206,1.0
bio15,64.3656,1.0
bio15,64.5252,1.0
bio15,64.6848,1.0
bio15,64.84440000000001,1.0
bio15,65.004,1.0
bio15,65.1636,1.0
bio15,65.3232,1.0
bio15,65.4828,1.0
bio15,65.64240000000001,1.0
bio15,65.802,1.0
bio15,65.9616,1.0
bio15,66.1212,1.0
bio15,66.2808,1.0
bio15,66.44040000000001,1.0
bio15,66.60000000000001,1.0
bio15,66.7596,1.0
bio15,66.9192,1.0
bio15,67.0788,1.0
bio15,67.23840000000001,1.0
bio15,67.39800000000001,1.0
bio15,67.55760000000001,1.0
bio15,67.7172,1.0
bio15,67.8768,1.0
bio15,68.03640000000001,1.0
bio15,68.19600000000001,1.0
bio15,68.35560000000001,1.0
bio15,68.51520000000001,1.0
bio15,68.6748,1.0
bio15,68.8344,1.0
bio15,68.994,1.0
bio15,69.15360000000001,1.0
bio15,69.31320000000001,1.0
bio15,69.4728,1.0
bio15,69.6324,1.0
bio15,69.792,1.0
bio15,69.9516,1.0
bio15,70.1112,1.0
bio15,70.27080000000001,1.0
bio15,70.4304,1.0
bio15,70.59,1.0
bio15,70.7496,1.0
bio15,70.9092,1.0
bio15,71.0688,1.0
bio15,71.22840000000001,1.0
bio15,71.388,1.0
bio15,71.5476,1.0
bio15,71.7072,1.0
bio15,71.8668,1.0
bio15,72.02640000000001,1.0
bio15,72.186,1.0
bio15,72.3456,1.0
bio15,72.5052,1.0
bio15,72.6648,1.0
bio15,72.82440000000001,1.0
bio15,72.98400000000001,1.0
bio15,73.1436,1.0
bio15,73.3032,1.0
bio15,73.46280000000002,1.0
bio15,73.62240000000001,1.0
bio15,73.78200000000001,1.0
bio15,73.94160000000001,1.0
bio15,74.1012,1.0
bio15,74.2608,1.0
bio15,74.42040000000001,1.0
bio15,74.58000000000001,1.0
bio15,74.73960000000001,1.0
bio15,74.89920000000001,1.0
bio15,75.0588,1.0
bio15,75.2184,1.0
bio15,75.378,1.0
bio15,75.53760000000001,1.0
bio15,75.69720000000001,1.0
bio15,75.8568,1.0
bio15,76.0164,1.0
bio15,76.176,1.0
bio15,76.3356,1.0
bio15,76.4952,1.0
bio15,76.65480000000001,1.0
bio15,76.8144,1.0
bio15,76.974,0.9999999970197677
bio15,77.1336,0.9999999940395355
bio15,77.2932,0.9999999940395355
bio15,77.45280000000001,0.9999999940395355
bio15,77.61240000000001,0.9999999940395355
bio15,77.772,0.9999999940395355
bio15,77.9316,0.9999999910593033
bio15,78.0912,0.9999999880790711
bio15,78.25080000000001,0.9999999880790711
bio15,78.41040000000001,0.9999999880790711
bio15,78.57000000000001,0.9999999850988388
bio15,78.7296,0.9999999821186065
bio15,78.8892,0.9999999791383744
bio15,79.04880000000001,0.9999999761581421
bio15,79.20840000000001,0.9999999701976776
bio15,79.36800000000001,0.9999999642372132
bio15,79.5276,0.9999999582767487
bio15,79.6872,0.9999999523162841
bio15,79.84680000000002,0.9999999463558197
bio15,80.00640000000001,0.9999999403953552
bio15,80.16600000000001,0.9999999284744263
bio15,80.32560000000001,0.9999999165534973
bio15,80.4852,0.9999999016523361
bio15,80.6448,0.9999998867511749
bio15,80.8044,0.9999998688697815
bio15,80.96400000000001,0.9999998509883881
bio15,81.12360000000001,0.9999998301267624
bio15,81.28320000000001,0.9999998092651368
bio15,81.4428,0.9999997794628144
bio15,81.6024,0.999999749660492
bio15,81.762,0.9999997109174729
bio15,81.92160000000001,0.9999996721744537
bio15,82.08120000000001,0.9999996274709702
bio15,82.24080000000001,0.9999995827674866
bio15,82.4004,0.9999995201826095
bio15,82.56,0.9999994575977326
bio15,82.7196,0.9999993830919266
bio15,82.87920000000001,0.9999993085861206
bio15,83.03880000000001,0.999999213218689
bio15,83.1984,0.9999991178512573
bio15,83.358,0.9999990016222
bio15,83.5176,0.9999988853931427
bio15,83.67720000000001,0.999998739361763
bio15,83.83680000000001,0.9999985933303833
bio15,83.99640000000001,0.9999984115362167
bio15,84.156,0.9999982297420502
bio15,84.3156,0.9999980032444
bio15,84.47520000000002,0.9999977767467498
bio15,84.63480000000001,0.9999975055456162
bio15,84.79440000000001,0.9999972343444824
bio15,84.95400000000001,0.999996903538704
bio15,85.1136,0.9999965727329254
bio15,85.27320000000002,0.9999961733818055
bio15,85.43280000000001,0.9999957740306854
bio15,85.59240000000001,0.9999952882528305
bio15,85.75200000000001,0.9999948024749756
bio15,85.9116,0.9999942153692245
bio15,86.0712,0.9999936282634735
bio15,86.23080000000002,0.9999929279088974
bio15,86.39040000000001,0.9999922275543213
bio15,86.55000000000001,0.9999913841485977
bio15,86.70960000000001,0.9999905407428742
bio15,86.8692,0.9999895393848419
bio15,87.0288,0.9999885380268096
bio15,87.1884,0.9999873489141464
bio15,87.34800000000001,0.9999861598014832
bio15,87.50760000000001,0.9999847561120987
bio15,87.66720000000001,0.9999833524227142
bio15,87.8268,0.9999816954135895
bio15,87.9864,0.9999800384044647
bio15,88.146,0.9999780982732773
bio15,88.3056,0.9999761581420898
bio15,88.46520000000001,0.9999738842248916
bio15,88.62480000000001,0.9999716103076934
bio15,88.7844,0.9999689579010009
bio15,88.944,0.9999663054943084
bio15,89.1036,0.9999632328748703
bio15,89.26320000000001,0.9999601602554321
bio15,89.42280000000001,0.9999565869569779
bio15,89.5824,0.9999530136585235
bio15,89.742,0.9999488830566406
bio15,89.9016,0.9999447524547577
bio15,90.06120000000001,0.9999399989843368
bio15,90.22080000000001,0.999935245513916
bio15,90.38040000000001,0.9999297678470611
bio15,90.54,0.9999242901802063
bio15,90.6996,0.9999180197715759
bio15,90.85920000000002,0.9999117493629456
bio15,91.01880000000001,0.9999045610427857
bio15,91.17840000000001,0.9998973727226257
bio15,91.33800000000001,0.9998891770839691
bio15,91.4976,0.9998809814453125
bio15,91.65720000000002,0.9998716473579407
bio15,91.81680000000001,0.9998623132705688
bio15,91.97640000000001,0.9998517096042633
bio15,92.13600000000001,0.9998411059379577
bio15,92.29560000000001,0.9998290836811066
bio15,92.45520000000002,0.9998170614242554
bio15,92.6148,0.9998034626245499
bio15,92.77440000000001,0.9997898638248444
bio15,92.93400000000001,0.9997745126485824
