X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
73.497193,20.752783,train,3.2463935803721044E-4,90.46581923339195,0.8688530924432757
92.583244,26.830927,train,1.9714537113735823E-4,69.85507852710802,0.7087697326281294
80.642065,7.298662,train,6.436743835344225E-4,96.78905330373085,0.9821866140374802
79.245514,11.320546,train,1.7296212445047713E-4,55.12499327133602,0.6611893517160806
79.878696,6.880405,train,2.730087960146065E-4,85.84700143452216,0.8188369632322345
80.414243,6.449857,train,0.0012677119838224293,99.4641185924485,0.9996411954014701
80.354424,8.147325,train,2.7259927071161236E-4,85.82531457105243,0.8183721171924437
92.330689,24.43202,train,1.8111319675957193E-4,61.215987360437815,0.6780372367443444
76.671844,10.755116,train,2.968849418302784E-4,88.72213315869759,0.8439787945228738
74.900339,12.698238,train,1.1827005031768787E-4,20.388532108371383,0.5229228973292147
90.403141,23.738738,train,2.0812263602102747E-4,75.01010710622504,0.7281028687886048
77.684158,12.993438,train,1.1364591342063129E-4,18.323930517497587,0.5089167103953147
76.194779,10.613827,train,2.96458949217422E-4,88.63920179502148,0.8435623406686046
77.997811,30.34383,train,1.3467188633091467E-4,30.998982138018278,0.5694586768538874
80.113556,6.126297,train,1.812882366858544E-4,61.30483876210491,0.6783896945757145
79.985166,6.463742,train,2.4776761096778426E-4,83.40125912680104,0.787839175731269
73.011374,18.049694,train,3.726812784157892E-4,92.27301278402857,0.9029045158274263
76.828025,12.032864,train,1.2913016970789753E-4,27.106645657360072,0.5542667368223804
75.82518,25.184802,train,1.3746613018723799E-4,33.0022951162799,0.5769212752576889
80.596,7.273,train,6.752716911974015E-4,97.0561218149216,0.9853823540972311
73.807721,18.557623,train,1.8322907615402767E-4,62.232260783607074,0.6822719780391662
73.470323,18.474463,train,2.52940281297212E-4,83.99615703876206,0.7945964653337249
76.282482,10.776683,train,2.946872836567541E-4,88.2924887930934,0.8418183874091411
80.257545,13.045028,train,7.191471072412185E-5,8.138461984949494,0.3623767665971126
77.568397,13.017778,train,1.2091478683588707E-4,22.118144004889036,0.5307533070156167
86.94689,22.798087,train,1.7316738903961086E-4,55.229655980126736,0.6616242567364472
76.271083,10.850516,train,2.929123625843004E-4,88.07196153757974,0.8400517343706836
76.617174,12.286339,train,1.1769453137172551E-4,20.147850469211942,0.5212016920487139
83.316475,21.824573,train,1.4468842264808813E-4,37.50775158655065,0.5956161157025728
91.177406,27.260475,train,1.636553836174093E-4,49.25629917443212,0.6408721313855233
90.048409,26.978764,train,1.834951826385766E-4,62.34664924432667,0.6828006078622357
76.603961,8.868319,train,4.898543772665744E-4,95.81057760370024,0.9533589104681784
89.911629,24.238934,train,2.030817281370916E-4,72.62595542303227,0.7193895578363718
77.533376,10.270565,train,1.6603280364799368E-4,50.9727092843864,0.6461752434494622
94.265305,24.993788,train,1.1942429676908764E-4,21.19289196754137,0.5263562774751318
76.94474,12.817497,train,6.570613380825873E-5,6.980837490119427,0.33711742856098936
77.657084,13.060456,train,1.1323712921269671E-4,18.201176092403433,0.507658923510613
76.583342,9.575694,train,3.854559478202862E-4,92.88127361911518,0.910363991233692
76.541733,9.56054,train,3.896988118310409E-4,93.00579205505649,0.9127124956500396
76.46729,10.747568,train,2.974779051969377E-4,88.80782896716046,0.8445566353735188
76.427384,10.302191,train,3.071502957285356E-4,89.68935113631257,0.8536858127320575
87.010568,22.988771,train,1.687572523405032E-4,52.577902766949464,0.6521562233105532
76.067286,11.025847,train,2.8649241722696067E-4,87.1884846027958,0.8334953299850162
75.953122,10.706872,train,2.9470234359647266E-4,88.295443820082,0.841833293404745
73.0281,18.9783,train,3.7097059802235433E-4,92.17123407905305,0.90185956301074
94.3372,27.011,train,1.7673838236412524E-4,58.3283218163126,0.6691015986466549
77.716003,12.959612,train,1.1480414223146416E-4,18.77966794278762,0.5124630382704269
77.059605,10.088982,train,2.773262884198843E-4,86.1510398211792,0.8236658828939487
88.438174,22.977864,train,1.8206836703035288E-4,61.67675222554031,0.6799558675841118
91.544067,22.854969,train,1.8805573855785681E-4,64.66704466128172,0.6917248262804483
73.928782,15.579055,train,3.348209401870918E-4,90.81818323202013,0.8769480435272129
72.987479,19.373621,train,3.8409541941169606E-4,92.84157448583362,0.9095976144379784
75.321444,11.989145,train,2.593132284899771E-4,84.7375291469349,0.8026265412222587
89.551598,24.651369,train,1.896468874328042E-4,65.5162808600202,0.6947789830322638
76.038284,11.558081,train,2.5284356463393953E-4,83.98000177108241,0.7944721161716006
76.453398,10.980934,train,3.0098416223638054E-4,89.25371946325448,0.8479299943298532
72.900218,19.07945,train,3.787655586209039E-4,92.53637816246011,0.9065316978403195
