species,longitude,latitude
Arthet,80.96027,26.91601
Arthet,75.006897,13.216683
Arthet,94.739782,26.508158
Arthet,73.765235,18.470866
Arthet,79.833103,11.983798
Arthet,85.343247,23.369027
Arthet,92.123504,24.14
Arthet,91.998922,26.491646
Arthet,92.82294,26.779697
Arthet,91.683813,26.267755
Arthet,81.850144,17.063893
Arthet,77.704215,11.224263
Arthet,86.358427,24.891685
Arthet,86.415092,23.692768
Arthet,90.395132,23.725164
Arthet,78.94274,15.506203
Arthet,75.405965,11.840046
Arthet,79.69711,15.780341
Arthet,78.80787,10.388971
Arthet,77.111786,8.634354
Arthet,76.9625,11.029722
Arthet,80.817425,24.575761
Arthet,81.02221,24.575645
Arthet,73.295517,17.748358
Arthet,77.89693,29.864743
Arthet,76.701469,8.740144
Arthet,79.83485,11.992346
Arthet,85.831764,20.291059
Arthet,76.737893,10.982221
Arthet,75.986417,12.409996
Arthet,75.691101,12.310076
Arthet,75.046585,12.491419
Arthet,90.543453,26.883786
Arthet,80.111626,28.258087
Arthet,82.096171,21.100093
Arthet,90.404573,24.221972
Arthet,77.318886,28.150833
Arthet,80.253689,13.046619
Arthet,87.583335,21.882053
Arthet,91.7601,26.112347
Arthet,74.949395,12.848008
Arthet,83.014885,18.90437
Arthet,73.936148,15.300108
Arthet,72.748062,19.991064
Arthet,92.937106,25.793266
Arthet,75.55842,13.942664
Arthet,77.440284,8.889663
Arthet,87.36665,23.489144
Arthet,82.034413,26.518047
Arthet,79.691828,16.884039
Arthet,90.392155,23.864503
Arthet,76.530705,9.673466
Arthet,89.191348,26.592366
Arthet,90.393672,24.024511
Arthet,80.258072,13.063568
Arthet,80.047676,6.296862
Arthet,76.362288,9.918405
Arthet,79.126358,18.441967
Arthet,76.228525,10.637642
Arthet,88.404068,22.931265
Arthet,79.341934,10.948249
Arthet,94.054978,21.191892
Arthet,78.319412,17.312767
Arthet,81.836235,16.463873
Arthet,77.646755,12.963703
Arthet,75.395942,11.869472
Arthet,85.807826,20.282871
Arthet,85.807279,20.282659
Arthet,80.489463,7.256642
Arthet,92.335423,24.428135
Arthet,76.889391,9.632284
Arthet,76.480837,12.367914
Arthet,90.0147,23.235318
Arthet,92.330689,24.43202
Arthet,72.822738,18.931328
Arthet,75.200627,12.057492
Arthet,76.926094,9.017612
Arthet,76.955036,8.510322
Arthet,73.52478,16.650064
Arthet,79.823654,11.928115
Arthet,91.449905,26.647951
Arthet,93.01503,25.173117
Arthet,73.872871,15.596524
Arthet,76.214432,10.527641
Arthet,76.13723,10.538151
Arthet,77.618446,13.07586
Arthet,73.18454,17.498085
Arthet,76.383987,9.322183
Arthet,77.140816,11.982994
Arthet,77.545914,13.047401
Arthet,76.951004,10.323591
Arthet,77.585136,12.949337
Arthet,77.713821,12.962581
Arthet,92.752106,24.686005
