x,y,raw,cumulative,Cloglog
81.2291666688065,24.93750000096949,4.55999E-7,0.050420909,0.000137702
79.97916666879651,22.06250000094649,4.90715E-7,0.054396483,0.000148185
92.1041666688935,34.729166667714495,1.55887E-7,0.017064952,0.000047077
79.7291666687945,11.10416666752549,6.27495E-6,0.487424703,0.001893242
92.6458333355645,31.47916666768849,4.21439E-8,0.00428957,0.000012727
80.5625000021345,28.81250000100049,8.76986E-7,0.09149029,0.000264815
77.6875000021115,31.145833334352492,5.97447E-10,0.000002177,0.00000018
78.64583333545251,19.72916666759449,7.48523E-8,0.008148167,0.000022605
95.93750000225751,15.27083333422549,4.59376E-4,14.281294555,0.129538421
79.3541666687915,12.39583333420249,3.39912E-5,2.841425462,0.010212837
95.14583333558451,33.47916666770449,2.31297E-8,0.001918727,0.000006985
83.4791666688245,28.56250000099849,7.25377E-6,0.570298946,0.002188244
75.93750000209751,12.520833334203491,1.84581E-3,25.976700875,0.427323312
70.52083333538751,35.97916666772449,2.97818E-9,0.0000471,0.000000899
83.8125000021605,28.39583333433049,1.66953E-5,1.39004965,0.005029289
84.9375000021695,22.14583333428049,2.45235E-7,0.02643808,0.000074058
94.3125000022445,18.39583333425049,1.40482E-4,8.05497729,0.041538303
91.2708333355535,34.93750000104949,2.48872E-7,0.026932027,0.000075157
84.39583333549851,31.47916666768849,1.21282E-7,0.013302036,0.000036626
76.22916666876651,25.06250000097049,8.59112E-8,0.009460497,0.000025945
82.5625000021505,20.02083333426349,7.5496E-7,0.081197919,0.000227972
87.9375000021935,27.72916666765849,1.50695E-5,1.262975268,0.004540666
79.8541666687955,25.39583333430649,1.05261E-7,0.011731351,0.000031788
81.1458333354725,27.35416666765549,2.08928E-7,0.022843559,0.000063094
85.8125000021765,19.93750000092949,2.66302E-5,2.176532594,0.008010072
86.0208333355115,26.31250000098049,1.21958E-6,0.116811999,0.000368245
73.4375000020775,16.479166667568492,2.40469E-3,29.553296048,0.516265096
73.4375000020775,18.14583333424849,1.35869E-4,7.82093432,0.040202063
84.8541666688355,27.64583333432449,1.51757E-5,1.278093782,0.004572585
71.4375000020615,18.687500000919492,6.83212E-5,4.996210745,0.020421613
91.18750000221951,23.14583333428849,4.01396E-5,3.326431685,0.012049003
70.4375000020535,18.89583333425449,1.38335E-5,1.140082087,0.004169005
83.4375000021575,26.02083333431149,3.74226E-7,0.040598548,0.00011301
76.27083333543351,33.06250000103449,7.83811E-12,0.000000012,0.000000002
95.18750000225151,32.77083333436549,1.19055E-8,0.00053788,0.000003595
72.8125000020725,35.229166667718495,2.92651E-10,0.000001062,0.000000088
76.0625000020985,12.64583333420449,3.97558E-4,13.365111203,0.113135234
87.1875000021875,22.64583333428449,2.59997E-6,0.2083357,0.000784882
84.5208333354995,30.93750000101749,3.58576E-8,0.003489934,0.000010829
80.8958333354705,23.77083333429349,3.59795E-7,0.038655148,0.000108652
79.8958333354625,31.72916666769049,4.8526E-8,0.005064218,0.000014655
83.8958333354945,31.145833334352492,5.70664E-8,0.006145363,0.000017234
80.4375000021335,22.39583333428249,5.48533E-7,0.060453311,0.000165643
71.1041666687255,19.64583333426049,4.56145E-6,0.353450305,0.00137661
77.97916666878051,8.14583333416849,5.60844E-5,4.258246441,0.01679488
94.1875000022435,29.97916666767649,2.32271E-6,0.192696638,0.000701212
86.6458333355165,20.10416666759749,6.67915E-5,4.867780457,0.019968973
83.02083333548751,22.27083333428149,1.0321E-7,0.011491459,0.000031169
94.9791666689165,22.81250000095249,7.78331E-6,0.616804418,0.002347801
73.3541666687435,29.93750000100949,2.41413E-9,0.000027628,0.000000729
88.6458333355325,29.47916666767249,3.75846E-5,3.166795232,0.011286405
83.4375000021575,19.270833334257492,1.1139E-6,0.108520958,0.000336341
84.9375000021695,33.47916666770449,1.14563E-8,0.00049236,0.00000346
92.2291666688945,30.85416666768349,1.19434E-7,0.013073316,0.000036068
71.5625000020625,30.56250000101449,2.29764E-9,0.0000229,0.000000694
80.27083333546551,32.72916666769849,3.99897E-9,0.000076544,0.000001208
73.56250000207851,26.31250000098049,6.27141E-8,0.006754411,0.00001894
84.0208333354955,32.77083333436549,1.2806E-8,0.000647801,0.000003867
76.93750000210551,20.93750000093749,1.23096E-8,0.000589974,0.000003717
84.6875000021675,23.27083333428949,1.49129E-6,0.136172738,0.000450268
85.39583333550651,30.64583333434849,6.50493E-8,0.007042042,0.000019645
87.47916666885651,26.85416666765149,3.78095E-5,3.181897658,0.011353528
73.8125000020805,14.56250000088649,1.46781E-5,1.219799121,0.004422994
88.3125000021965,33.187500001035495,1.208E-8,0.000557039,0.000003648
93.89583333557451,20.27083333426549,7.44705E-4,18.05182385,0.201404796
85.8541666688435,26.85416666765149,4.31896E-6,0.330337225,0.001303476
94.1041666689095,16.312500000900492,2.06391E-4,10.156850259,0.060427503
76.3958333354345,34.52083333437949,4.13928E-8,0.00418949,0.000012501
94.3541666689115,28.39583333433049,2.34158E-10,0.000000817,0.000000071
80.5625000021345,9.02083333417549,1.33095E-5,1.08973056,0.004011421
91.3541666688875,30.35416666767949,3.23295E-7,0.034294366,0.000097631
95.18750000225151,21.43750000094149,8.1158E-6,0.641446579,0.002447974
79.64583333546051,13.89583333421449,1.0224E-5,0.821124318,0.003082879
87.8958333355265,23.52083333429149,1.35068E-6,0.125107161,0.000407823
87.77083333552551,26.89583333431849,6.43104E-5,4.697398962,0.019234374
92.56250000223051,11.85416666753149,2.65189E-5,2.168558605,0.007976743
87.8958333355265,25.72916666764249,9.78174E-6,0.781179306,0.002949731
