variable,x,y
bio18,-461.8,0.052213731966912744
bio18,-456.0904,0.052213731966912744
bio18,-450.3808,0.052213731966912744
bio18,-444.6712,0.052213731966912744
bio18,-438.96160000000003,0.052213731966912744
bio18,-433.252,0.052213731966912744
bio18,-427.5424,0.052213731966912744
bio18,-421.8328,0.052213731966912744
bio18,-416.1232,0.052213731966912744
bio18,-410.41360000000003,0.052213731966912744
bio18,-404.704,0.052213731966912744
bio18,-398.9944,0.052213731966912744
bio18,-393.2848,0.052213731966912744
bio18,-387.5752,0.052213731966912744
bio18,-381.8656,0.052213731966912744
bio18,-376.156,0.052213731966912744
bio18,-370.44640000000004,0.052213731966912744
bio18,-364.7368,0.052213731966912744
bio18,-359.0272,0.052213731966912744
bio18,-353.31759999999997,0.052213731966912744
bio18,-347.608,0.052213731966912744
bio18,-341.89840000000004,0.052213731966912744
bio18,-336.1888,0.052213731966912744
bio18,-330.4792,0.052213731966912744
bio18,-324.76959999999997,0.052213731966912744
bio18,-319.06,0.052213731966912744
bio18,-313.35040000000004,0.052213731966912744
bio18,-307.6408,0.052213731966912744
bio18,-301.9312,0.052213731966912744
bio18,-296.22159999999997,0.052213731966912744
bio18,-290.512,0.052213731966912744
bio18,-284.80240000000003,0.052213731966912744
bio18,-279.0928,0.052213731966912744
bio18,-273.3832,0.052213731966912744
bio18,-267.67359999999996,0.052213731966912744
bio18,-261.964,0.052213731966912744
bio18,-256.25440000000003,0.052213731966912744
bio18,-250.5448,0.052213731966912744
bio18,-244.8352,0.052213731966912744
bio18,-239.1256,0.052213731966912744
bio18,-233.41600000000003,0.052213731966912744
bio18,-227.7064,0.052213731966912744
bio18,-221.9968,0.052213731966912744
bio18,-216.28719999999998,0.052213731966912744
bio18,-210.5776,0.052213731966912744
bio18,-204.868,0.052213731966912744
bio18,-199.15839999999997,0.052213731966912744
bio18,-193.4488,0.052213731966912744
bio18,-187.73919999999998,0.052213731966912744
bio18,-182.02960000000002,0.052213731966912744
bio18,-176.32,0.052213731966912744
bio18,-170.61039999999997,0.052213731966912744
bio18,-164.9008,0.052213731966912744
bio18,-159.19119999999998,0.052213731966912744
bio18,-153.48160000000001,0.052213731966912744
bio18,-147.772,0.052213731966912744
bio18,-142.06239999999997,0.052213731966912744
bio18,-136.3528,0.052213731966912744
bio18,-130.64319999999998,0.052213731966912744
bio18,-124.93360000000001,0.052213731966912744
bio18,-119.22399999999999,0.052213731966912744
bio18,-113.51439999999997,0.052213731966912744
bio18,-107.8048,0.052213731966912744
bio18,-102.09519999999998,0.052213731966912744
bio18,-96.38560000000001,0.052213731966912744
bio18,-90.67599999999999,0.052213731966912744
bio18,-84.96639999999996,0.052213731966912744
bio18,-79.2568,0.052213731966912744
bio18,-73.54719999999998,0.052213731966912744
bio18,-67.83760000000001,0.052213731966912744
bio18,-62.127999999999986,0.052213731966912744
bio18,-56.41839999999996,0.052213731966912744
bio18,-50.7088,0.052213731966912744
bio18,-44.99919999999997,0.052213731966912744
bio18,-39.28960000000001,0.052213731966912744
bio18,-33.579999999999984,0.052213731966912744
bio18,-27.87039999999996,0.052213731966912744
bio18,-22.160799999999995,0.052213731966912744
bio18,-16.45119999999997,0.052213731966912744
bio18,-10.741600000000005,0.052213731966912744
bio18,-5.032000000000039,0.052213731966912744
bio18,0.6776000000000408,0.052213731966912744
bio18,6.387200000000007,0.052213731966912744
bio18,12.09680000000003,0.05279679568484426
bio18,17.806399999999996,0.053379859402775766
bio18,23.51600000000002,0.0551956307142973
bio18,29.225600000000043,0.05701140202581882
bio18,34.93520000000001,0.05893019828945397
bio18,40.64480000000003,0.06084899455308914
bio18,46.3544,0.06287488620728253
bio18,52.06400000000002,0.06490077786147594
bio18,57.773600000000044,0.06703783981502057
bio18,63.48320000000007,0.06917490176856518
bio18,69.19280000000009,0.0714272003620863
bio18,74.9024,0.07367949895560741
bio18,80.61200000000002,0.0760510703548789
bio18,86.32160000000005,0.0784226417541504
bio18,92.03120000000007,0.08091747406870128
bio18,97.74079999999998,0.08341230638325214
bio18,103.4504,0.08603432234376669
bio18,109.16000000000003,0.08865633830428124
bio18,114.86960000000005,0.09140936806797981
bio18,120.57920000000007,0.09416239783167839
bio18,126.28879999999998,0.09705016054213046
bio18,131.9984,0.09993792325258255
bio18,137.70800000000003,0.10296400226652622
bio18,143.41760000000005,0.1059900812804699
bio18,149.12720000000007,0.10915789529681208
bio18,154.83679999999998,0.11232570931315422
bio18,160.5464,0.11563848219811916
bio18,166.25600000000003,0.1189512550830841
bio18,171.96560000000005,0.12241200916469097
bio18,177.67520000000007,0.12587276324629784
bio18,183.38479999999998,0.12948426231741902
bio18,189.0944,0.13309576138854026
bio18,194.80400000000003,0.13686049692332744
bio18,200.51360000000005,0.14062523245811462
bio18,206.22320000000008,0.14454540200531485
bio18,211.9328,0.14846557155251502
bio18,217.6424,0.15254302695393562
bio18,223.35200000000003,0.15662048235535622
bio18,229.06160000000006,0.16085671596229076
bio18,234.77120000000008,0.16509294956922532
bio18,240.4808,0.16948907375335692
bio18,246.1904,0.17388519793748855
bio18,251.90000000000003,0.17844188064336777
bio18,257.60960000000006,0.18299856334924697
bio18,263.3192000000001,0.1877160541713238
bio18,269.0288,0.19243354499340057
bio18,274.7384,0.19731157645583153
bio18,280.44800000000004,0.2021896079182625
bio18,286.15760000000006,0.20722744464874268
bio18,291.8672000000001,0.21226528137922288
bio18,297.5768,0.2174616657197475
bio18,303.2864,0.22265805006027223
bio18,308.99600000000004,0.2280111365020275
bio18,314.70560000000006,0.2333642229437828
bio18,320.4152000000001,0.2388716392219067
bio18,326.1248,0.24437905550003053
bio18,331.8344,0.25003785118460653
bio18,337.54400000000004,0.2556966468691826
