variable,x,y
bio18,-325.4,0.7401178002357482
bio18,-321.47119999999995,0.7401178002357482
bio18,-317.5424,0.7401178002357482
bio18,-313.61359999999996,0.7401178002357482
bio18,-309.6848,0.7401178002357482
bio18,-305.756,0.7401178002357482
bio18,-301.82719999999995,0.7401178002357482
bio18,-297.8984,0.7401178002357482
bio18,-293.96959999999996,0.7401178002357482
bio18,-290.0408,0.7401178002357482
bio18,-286.11199999999997,0.7401178002357482
bio18,-282.18319999999994,0.7401178002357482
bio18,-278.2544,0.7401178002357482
bio18,-274.32559999999995,0.7401178002357482
bio18,-270.3968,0.7401178002357482
bio18,-266.46799999999996,0.7401178002357482
bio18,-262.5392,0.7401178002357482
bio18,-258.61039999999997,0.7401178002357482
bio18,-254.68159999999997,0.7401178002357482
bio18,-250.75279999999998,0.7401178002357482
bio18,-246.82399999999998,0.7401178002357482
bio18,-242.8952,0.7401178002357482
bio18,-238.96639999999996,0.7401178002357482
bio18,-235.03759999999997,0.7401178002357482
bio18,-231.10879999999997,0.7401178002357482
bio18,-227.17999999999998,0.7401178002357482
bio18,-223.25119999999998,0.7401178002357482
bio18,-219.32239999999996,0.7401178002357482
bio18,-215.39359999999996,0.7401178002357482
bio18,-211.46479999999997,0.7401178002357482
bio18,-207.53599999999997,0.7401178002357482
bio18,-203.60719999999998,0.7401178002357482
bio18,-199.67839999999995,0.7401178002357482
bio18,-195.74959999999996,0.7401178002357482
bio18,-191.82079999999996,0.7401178002357482
bio18,-187.89199999999997,0.7401178002357482
bio18,-183.96319999999997,0.7401178002357482
bio18,-180.03439999999998,0.7401178002357482
bio18,-176.10559999999998,0.7401178002357482
bio18,-172.17679999999996,0.7401178002357482
bio18,-168.248,0.7401178002357482
bio18,-164.31919999999997,0.7401178002357482
bio18,-160.39039999999997,0.7401178002357482
bio18,-156.46159999999998,0.7401178002357482
bio18,-152.53279999999995,0.7401178002357482
bio18,-148.60399999999998,0.7401178002357482
bio18,-144.67519999999996,0.7401178002357482
bio18,-140.74639999999997,0.7401178002357482
bio18,-136.81759999999994,0.7401178002357482
bio18,-132.88879999999997,0.7401178002357482
bio18,-128.95999999999998,0.7401178002357482
bio18,-125.03119999999996,0.7401178002357482
bio18,-121.10239999999996,0.7401178002357482
bio18,-117.17359999999996,0.7401178002357482
bio18,-113.24479999999997,0.7401178002357482
bio18,-109.31599999999997,0.7401178002357482
bio18,-105.38719999999995,0.7401178002357482
bio18,-101.45839999999998,0.7401178002357482
bio18,-97.52959999999996,0.7401178002357482
bio18,-93.60079999999996,0.7401178002357482
bio18,-89.67199999999997,0.7401178002357482
bio18,-85.74319999999997,0.7401178002357482
bio18,-81.81439999999998,0.7401178002357482
bio18,-77.88559999999995,0.7401178002357482
bio18,-73.95679999999996,0.7401178002357482
bio18,-70.02799999999996,0.7401178002357482
bio18,-66.09919999999994,0.7401178002357482
bio18,-62.170399999999916,0.7401178002357482
bio18,-58.24159999999995,0.7401178002357482
bio18,-54.31279999999998,0.7401178002357482
bio18,-50.38399999999996,0.7401178002357482
bio18,-46.45519999999999,0.7401178002357482
bio18,-42.52639999999997,0.7401178002357482
bio18,-38.59759999999994,0.7401178002357482
bio18,-34.668799999999976,0.7401178002357482
bio18,-30.739999999999952,0.7401178002357482
bio18,-26.811199999999985,0.7401178002357482
bio18,-22.88239999999996,0.7401178002357482
bio18,-18.953599999999938,0.7401178002357482
bio18,-15.02479999999997,0.7401178002357482
bio18,-11.096000000000004,0.7401178002357482
bio18,-7.16719999999998,0.7401178002357482
bio18,-3.238399999999956,0.7401178002357482
bio18,0.6904000000000678,0.7428305506706238
bio18,4.619200000000035,0.7455433011054993
bio18,8.548000000000002,0.7538270622491836
bio18,12.476800000000026,0.7621108233928681
bio18,16.40560000000005,0.7700807541608811
bio18,20.334400000000073,0.7780506849288941
bio18,24.26320000000004,0.7797790199518204
bio18,28.192000000000007,0.7815073549747467
bio18,32.12080000000003,0.7806393206119537
bio18,36.049600000000055,0.7797712862491608
bio18,39.97840000000002,0.7788919448852539
bio18,43.907200000000046,0.778012603521347
bio18,47.83600000000001,0.7771225899457932
bio18,51.76480000000009,0.7762325763702392
bio18,55.69360000000006,0.7753325402736664
bio18,59.62240000000003,0.7744325041770935
bio18,63.55120000000005,0.773584607243538
bio18,67.48000000000002,0.7727367103099823
bio18,71.40880000000004,0.7726605892181396
bio18,75.33760000000007,0.772584468126297
bio18,79.26640000000003,0.7725879311561584
bio18,83.19520000000006,0.7725913941860199
bio18,87.12400000000002,0.7725948512554168
bio18,91.05280000000005,0.7725983083248138
bio18,94.98160000000007,0.7726017653942108
bio18,98.91040000000004,0.7726052224636077
bio18,102.83920000000006,0.7726086795330047
bio18,106.76800000000003,0.7726121366024017
bio18,110.69680000000005,0.7726155996322632
bio18,114.62560000000008,0.7726190626621247
bio18,118.55440000000004,0.7726225167512893
bio18,122.48320000000001,0.7726259708404541
bio18,126.41200000000003,0.7726294279098511
bio18,130.34080000000006,0.7726328849792481
bio18,134.26960000000008,0.7726363390684128
bio18,138.19840000000005,0.7726397931575775
bio18,142.12720000000002,0.7726432532072067
bio18,146.05600000000004,0.772646713256836
bio18,149.98480000000006,0.7726501673460007
bio18,153.91360000000003,0.7726536214351654
bio18,157.84240000000005,0.7726570785045623
bio18,161.77120000000002,0.7726605355739593
bio18,165.70000000000005,0.7726639896631241
bio18,169.62880000000007,0.7726674437522888
bio18,173.55760000000004,0.7726708978414536
bio18,177.48640000000006,0.7726743519306183
bio18,181.41520000000003,0.7726778030395508
