X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
144.042753,-9.923511,train,1.4909672295073E-4,34.27047639529833,0.5107956501813096
144.25,-7.5,train,7.300919203393886E-5,13.507397964189023,0.29538702190299815
145.75,-6.58,train,7.512635797262229E-5,14.26062250644771,0.3025044901621914
130.8,-3.65,train,4.8275011135481745E-4,82.30689819085373,0.9012307285440491
139.117222,-3.418889,train,1.0512197362434757E-4,22.428569914247596,0.3959507143980905
127.458716,-0.562308,train,4.253259398644458E-4,79.84394177844733,0.8699190322897091
140.7143,-2.5267,train,4.552452296462937E-4,81.01121429430029,0.8873052525421613
131.4,-7.583333,train,3.965091858772512E-4,78.47767938738068,0.8506422728305696
133.62,-2.885,train,2.2408088504764214E-4,57.10708466802258,0.6585494126820908
134.037399,-0.887187,train,3.8279706598333895E-4,77.72807223283804,0.8404912044532662
143.527674,-3.353582,train,3.623771039113435E-4,76.5224246733623,0.8240815597525468
126.361111,-8.447222,train,1.622176013253437E-4,38.000198874917395,0.540627816774451
145.783333,-5.183333,train,2.1347968574246686E-4,52.418423532934035,0.6407423849157293
138.0,-3.0,train,1.1129964580121576E-4,24.28658742328773,0.413582773566998
137.883333,-1.433333,train,3.606574283987777E-4,76.4190195564653,0.8226248515862471
134.2587,-1.3442,train,3.360886685345243E-4,74.31971380451445,0.8004462874136451
133.1457,-0.8474,train,2.1691431126303362E-4,53.59942843159695,0.6466110124493181
130.838132,-1.257131,train,2.648006167502687E-4,67.16381982528044,0.7191174770747577
132.2,-1.233333,train,3.4348904715482566E-4,75.14649234396177,0.807403788030393
131.4,-0.783333,train,4.48865173299752E-4,80.71726205851655,0.8838040966677921
159.6,-9.4,train,6.620053007039098E-4,88.73948995119268,0.9581877089058736
133.906433,-0.983333,train,3.623568460262329E-4,76.52124673682465,0.824064469467251
141.25,-2.666667,train,3.966067942903569E-4,78.48183092390707,0.8507121662133946
127.45,1.06667,train,5.548702900657262E-4,85.39611396717584,0.9301085657685404
133.578255,-0.721791,train,3.836659490191293E-4,77.78772953566553,0.8411544345805627
132.087752,-0.507921,train,4.5576554821777024E-4,81.03871060550182,0.8875860893666534
136.46667,-4.7,train,8.023946276122432E-5,15.769226220459649,0.3193986051589691
159.7,-9.683333,train,3.1273159044976787E-4,72.52012217244447,0.7767952684037396
126.8,4.333333,train,8.703793809747544E-4,94.38754873483482,0.9846063038121193
133.833333,-0.8786,train,3.962257930838727E-4,78.46562596395545,0.8504391613940714
146.866667,-7.166667,train,9.397076288432046E-5,19.515674573926923,0.3627703861948084
146.416667,-6.583333,train,2.2777105087915203E-4,58.4160636074512,0.6645384853397094
140.36098,-2.74244,train,2.337776544245712E-4,60.35276425890416,0.6740632606559955
134.583333,-6.5,train,2.0639344350653553E-4,49.398065667578834,0.6283245882403333
124.083333,0.666667,train,4.5282816952476614E-4,80.88348439777602,0.8859914406192203
127.962567,1.687589,train,4.5571099953225217E-4,81.0358279722174,0.8875566801201741
134.1443,-1.5942,train,2.4132094833129514E-4,62.75589426388462,0.6856426569675448
139.00992,-2.18781,train,2.0623451560287538E-4,49.32054284295959,0.6280412193059244
126.666667,-3.4,train,1.2604417466891577E-4,28.504579812699472,0.45361385373961827
128.350278,2.041944,train,3.801349232763213E-4,77.54529014698676,0.8384418656537949
132.6,-1.36667,train,2.931661945592251E-4,70.74890544435075,0.7548395542051548
143.45,-4.616667,train,8.441873988745233E-5,16.86074837700785,0.332902906734858
147.766667,-6.5,train,1.6892195791227393E-4,39.50521707069666,0.5551617106604285
133.98548,-0.9344,train,3.7440197101327495E-4,77.26139272625402,0.8339387477380604
127.8,1.816667,train,3.3851303210874587E-4,74.61116331959741,0.8027528129093124
121.066667,-2.666667,train,5.3369194682113424E-5,8.80652364352149,0.2258002813234744
120.2574,-8.5832,train,9.440500742985045E-5,19.594067881030675,0.36409595101385184
134.303447,0.833333,train,9.110017899301836E-4,94.75011075684371,0.9873309967014291
133.4325,-4.1993,train,3.1889060991395637E-4,72.86304712306952,0.7832911799390596
133.75,-0.733333,train,4.007879519549631E-4,78.7196350929413,0.8536756129934229
147.733333,-9.0,train,8.814225673548916E-5,17.957260073168136,0.3447086566848375
127.542075,1.206857,train,5.592428860143068E-4,85.59011790494593,0.9315588088703053
134.383333,-2.083333,train,1.9564018596878466E-4,45.955679779529724,0.6086560474587861
140.773614,-2.632456,train,4.1939705600843694E-4,79.54423433623148,0.8661675937026012
147.1,-9.083333,train,2.1428622895935305E-4,52.66203138914473,0.6421291943546252
147.133333,-9.466667,train,2.2265080669828255E-4,56.39460051910988,0.6561997774816735
133.6322,-1.98538,train,1.8250005754532359E-4,42.90715299411904,0.5832032404426621
125.833333,-1.883333,train,6.07068486219998E-4,87.26082269398496,0.9455853687966042
147.083333,-5.333333,train,1.9856582704029787E-4,46.70542720022935,0.6141080933516234
160.8167,-9.8333,train,4.890081889173806E-4,82.50270363199394,0.904150744890504
133.765602,-2.613024,train,2.1603456595049744E-4,53.15787193678285,0.6451170175149036
151.583333,-4.95,train,2.433516631541104E-4,63.26994016214929,0.6886890253794913
127.319931,0.774378,train,5.322118163951868E-4,84.27642828309737,0.9220865168933411
136.0339,-4.5536,train,1.0673150093162461E-4,23.01026831780202,0.40059499600407655
145.25,-5.65,train,9.901664212719488E-5,20.589888523298217,0.378004312763769
133.5,-0.833333,train,3.8632197933397765E-4,77.96747130465378,0.8431647679167052
140.921993,-2.623155,train,4.812234410381786E-4,82.25864830746151,0.9005049893863877
